id,state,abbr,TotalPop,BachelorsOrMore,BachelorsOrMore_moe,LessThanHighscool,EmployedPop>16years,EmployedPop_moe>16years,UnemployedPop,UnemployedPop_moe>16years,familyincomeMorethan50k,familyincome_Low,familyincome_High,DepressionSampleSize,depression_datavalue,depression_low,depression_high,NoHealthcoverageSampleSize,NoHealthcoverage,Nohealthcoverage_low,Nohealthcoverage_high,geolocation,NoWork,NotAffordHealthcare,Column1
,47,Tennessee,TN,6549352,8.8,0.7,12.9,55.7,0.3,7.8,0.3,37.2,35,39.4,1142,21.4,19.7,23,4666,14.2,84.1,87.4,"(35.68094058000048, -85.77449091399967)",3.3,15.5
,48,Texas,TX,26956958,7.8,0.3,16.3,60.2,0.2,6.1,0.1,42.4,40.9,43.8,12755,85.4,84.5,86.3,12935,24.9,73.9,76.3,"(31.827240407000488, -99.42677020599967)",3.2,17.6
,49,Utah,UT,2942902,6.6,0.7,14.1,64,0.4,5,0.3,51.5,50.5,52.6,3110,20.7,19.9,21.5,13443,13.9,85.4,86.8,"(39.360700171000474, -111.58713063499971)",2.3,14.3
,50,Vermont,VT,626562,12.7,2.5,8.6,62.5,0.9,5.5,0.6,48.2,46.6,49.8,1428,21.8,20.6,23,6115,6.7,92.5,94.1,"(43.62538123900049, -72.51764079099962)",2.9,9.1
,51,Virginia,VA,8326289,12.1,0.6,10.8,60.6,0.3,6.1,0.2,52.1,50.6,53.5,1660,17.4,16.3,18.4,8620,13.1,85.9,88,"(37.54268067400045, -78.45789046299967)",2.7,13.1
,53,Washington D.C.,WA,7061530,10.6,0.7,15.2,59.1,0.3,6.5,0.3,51.9,50.5,53.4,2271,21.6,20.5,22.7,9453,10.7,88.3,90.3,"(47.52227862900048, -120.47001078999972)",2.7,12.3
,54,West Virginia,WV,1850326,6.9,1,14.2,49.5,0.6,6.9,0.5,35.3,33.7,36.9,1437,23.6,22.3,24.9,5755,10.1,88.8,90.9,"(38.66551020200046, -80.71264013499967)",2.4,16.5
,55,Wisconsin,WI,5757564,10.5,0.7,11.1,63.3,0.2,5.3,0.2,46.6,44.8,48.4,1149,17,15.7,18.4,6623,8.5,90.4,92.6,"(44.39319117400049, -89.81637074199966)",3,10.6
,56,Wyoming,WY,584153,6.6,2,12,64.8,0.9,4.3,0.7,50.7,48.3,53,1155,19,17.3,20.6,5847,15.1,83.1,86.7,"(43.23554134300048, -108.10983035299967)",1.9,11.8
,72,Puerto Rico,PR,3548397,7.6,0.7,11,36.3,0.4,18.5,0.7,7.9,7,8.9,1184,18.5,17.3,19.8,5733,6,93.2,94.9,"(18.220833, -66.590149)",3.2,12.2
